0: y0-s6, y2-s6, y4-s6, y6-s6, y8-s6, g0-s7, g2-s7, g1-s0, y1-s5, g4-s7, g3-s0, y3-s5, g6-s7, g5-s0, y5-s5, g8-s7, g7-s0, y7-s5, g9-s0, y9-s5, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, 
11: y1-s1->s2, y0-s6->s4, y2-s6, y4-s6, y6-s6, g5-s0, g2-s7->s2, g7-s0, g0-s2, y7-s5, y8-s6, g1-s0->s1, y3-s5->s1, g4-s7, g9-s0, y9-s5, g3-s0, y5-s5, g6-s7, b0-s0, b1-s5, g8-s7, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, 
12: g1-s0->s1, y1-s1->s2, g0-s2->s1, y3-s5->s1, y0-s6->s4, g2-s7->s2, g5-s0, g3-s0, y5-s5, y2-s6, g4-s7, g7-s0, y4-s6, g6-s7, g9-s0, y6-s6, g8-s7, b0-s0, y8-s6, b2-s0, b4-s0, b6-s0, b8-s0, y7-s5, y9-s5, b1-s5, b3-s5, b5-s5, b7-s5, b9-s5, 
13: y1-s1->s2, y5-s5->s1, y0-s6->s4, y7-s5, y2-s6, y9-s5, y4-s6, b1-s5, y6-s6, b3-s5, y8-s6, b5-s5, b7-s5, b9-s5, g0-s2->s1, g5-s0, g3-s0->s1, g2-s7->s2, g7-s0, g1-s1, g4-s7, g9-s0, y3-s1, g6-s7, b0-s0, g8-s7, b2-s0, b4-s0, b6-s0, b8-s0, 
14: g1-s1, y7-s5, g0-s2->s1, y0-s6->s4, g2-s7->s2, y3-s1, y9-s5, y2-s6, g4-s7, b1-s5, y4-s6, g6-s7, b3-s5, y6-s6, g8-s7, b5-s5, y8-s6, b7-s5, b9-s5, g7-s0, g3-s0->s1, y1-s1->s2, y5-s5->s1, g9-s0, g5-s0, b0-s0, b2-s0, b4-s0, b6-s0, b8-s0, 
15: g0-s2->s1, g7-s0, y0-s6->s4, g4-s7->s2, g9-s0, g1-s1, g2-s2, y7-s5, g3-s0->s1, y2-s6, g6-s7, b0-s0, y3-s1, y1-s2, y9-s5, g5-s0, y4-s6, g8-s7, b2-s0, y5-s1, b1-s5, y6-s6, b4-s0, b3-s5, y8-s6, b6-s0, b5-s5, b8-s0, b7-s5, b9-s5, 
16: y7-s5, g3-s0->s1, g0-s2->s1, y0-s6->s4, g4-s7->s2, y9-s5, g5-s0, g2-s2, y2-s6, g6-s7, b1-s5, y4-s6, g8-s7, b3-s5, y6-s6, b5-s5, y8-s6, b7-s5, b9-s5, g7-s0, g9-s0, g1-s1, y1-s2, b0-s0, y3-s1, b2-s0, y5-s1, b4-s0, b6-s0, b8-s0, 
17: y7-s5, g5-s0->s1, g1-s1->s2, g0-s2->s1, y0-s6->s4, g4-s7->s2, g7-s0, y9-s5, g2-s2, y2-s6, g6-s7, g9-s0, b1-s5, y4-s6, g8-s7, b0-s0, b3-s5, y6-s6, b2-s0, b5-s5, y8-s6, b4-s0, b7-s5, b6-s0, b9-s5, b8-s0, y3-s1, y5-s1, y1-s2->s4, g3-s1, 
18: g1-s1->s2, y2-s6->s4, g4-s7->s2, y3-s1, y4-s6, g6-s7, y6-s6, g8-s7, y8-s6, g0-s2->s1, g2-s2, g7-s0, g9-s0, y5-s1, y0-s4, g5-s0->s1, b0-s0, b2-s0, b4-s0, b6-s0, b8-s0, g3-s1, y1-s2->s4, y7-s5, y9-s5, b1-s5, b3-s5, b5-s5, b7-s5, b9-s5, 
19: y7-s5->s1, g7-s0, y2-s6->s4, g4-s7->s2, g9-s0, y5-s1, y0-s4, y9-s5, g5-s0->s1, g1-s1->s2, g0-s2->s1, y1-s2->s4, y4-s6, g6-s7, b0-s0, g3-s1, b1-s5, y3-s1, g2-s2, y6-s6, g8-s7, b2-s0, b3-s5, y8-s6, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, 
20: g1-s1->s2, g0-s2->s1, y1-s2->s4, y7-s5->s1, y2-s6->s4, g6-s7->s2, g7-s0, y5-s1, g4-s2, y0-s4, y9-s5, y3-s1, g2-s2, y4-s6, g8-s7, g9-s0, g3-s1, b1-s5, y6-s6, b0-s0, g5-s1, b3-s5, y8-s6, b2-s0, b5-s5, b4-s0, b7-s5, b6-s0, b9-s5, b8-s0, 
21: g4-s2, y0-s4, y9-s5, g1-s1->s2, g2-s2->s1, y2-s6->s4, g6-s7->s2, g7-s0, y1-s4, b1-s5, y4-s6, g8-s7, g9-s0, b3-s5, y6-s6, b0-s0, b5-s5, y8-s6, b2-s0, b7-s5, b4-s0, b9-s5, b6-s0, b8-s0, y3-s1, y5-s1, g3-s1, g5-s1, g0-s1, y7-s1, 
22: y0-s4, g7-s0->s1, y1-s4, y9-s5, b1-s5, g1-s1->s2, g2-s2->s1, y2-s6->s4, y5-s1, b3-s5, y3-s1, y4-s6, g3-s1, b5-s5, y6-s6, g5-s1, b7-s5, y8-s6, g0-s1, b9-s5, y7-s1, g4-s2, g9-s0, g6-s7->s2, b0-s0, g8-s7, b2-s0, b4-s0, b6-s0, b8-s0, 
23: g3-s1, y0-s4, b1-s5, g7-s0->s1, g1-s1->s2, g2-s2->s1, y9-s5->s1, y2-s6->s4, g6-s7->s2, b0-s0, g5-s1, y1-s4, b3-s5, g9-s0, y3-s1, g4-s2, y4-s6, g8-s7, b2-s0, g0-s1, b5-s5, y5-s1, y6-s6, b4-s0, y7-s1, b7-s5, y8-s6, b6-s0, b9-s5, b8-s0, 
24: g3-s1, y0-s4, b1-s5, g7-s0->s1, g1-s1->s2, g2-s2->s1, y9-s5->s1, y2-s6->s4, g6-s7->s2, b0-s0, g5-s1, y1-s4, b3-s5, g9-s0, y3-s1, g4-s2, y4-s6, g8-s7, b2-s0, g0-s1, b5-s5, y5-s1, y6-s6, b4-s0, y7-s1, b7-s5, y8-s6, b6-s0, b9-s5, b8-s0, 
25: g6-s2, y1-s4, g7-s0->s1, g1-s1->s2, g2-s2->s1, y0-s4->s2, g8-s7->s2, b0-s0, g9-s0, y3-s1, g4-s2, b2-s0, y5-s1, b4-s0, g3-s1, b6-s0, b8-s0, y2-s6->s4, y4-s6, y6-s6, y8-s6, b1-s5, g5-s1, b3-s5, g0-s1, b5-s5, y7-s1, b7-s5, y9-s1, b9-s5, 
26: g9-s0->s1, y3-s1->s2, g2-s2->s1, y2-s6->s4, g8-s7->s2, b0-s0, g5-s1, g1-s2, y1-s4, b1-s5, y5-s1, g4-s2, y4-s6, b2-s0, g0-s1, b3-s5, g3-s1, g6-s2, y6-s6, b4-s0, y7-s1, b5-s5, y8-s6, b6-s0, y9-s1, b7-s5, b8-s0, g7-s1, b9-s5, y0-s4->s2, 
27: y3-s1->s2, g2-s2->s1, y0-s4->s2, y1-s4->s6, y2-s6->s4, y5-s1, g4-s2, y4-s6, g3-s1, g6-s2, y6-s6, y8-s6, b0-s0, g8-s7->s2, b2-s0, g5-s1, g1-s2, b1-s5, g9-s0->s1, b4-s0, g0-s1, b3-s5, b6-s0, y7-s1, b5-s5, b8-s0, y9-s1, b7-s5, g7-s1, b9-s5, 
28: g9-s0->s1, y3-s1->s2, g2-s2->s1, g1-s2->s7, y1-s4->s6, y4-s6->s4, g8-s7->s2, b0-s0, g5-s1, y2-s4, y5-s1, g4-s2, y6-s6, b2-s0, g0-s1, g3-s1, g6-s2, y8-s6, b4-s0, y7-s1, b6-s0, y9-s1, b8-s0, g7-s1, y0-s4->s2, b1-s5, b3-s5, b5-s5, b7-s5, b9-s5, 
29: y3-s1->s2, g1-s2->s7, g8-s7->s2, b3-s5, y5-s1, b5-s5, g3-s1, b7-s5, g5-s1, b9-s5, b1-s5->s3, b0-s0, g2-s2->s1, y1-s4->s6, y4-s6->s4, b2-s0, g0-s1, y0-s2, y2-s4, g4-s2, y6-s6, b4-s0, y7-s1, g6-s2, y8-s6, b6-s0, y9-s1, b8-s0, g7-s1, g9-s1, 
30: g8-s2, y2-s4, b5-s5, g0-s1->s0, y3-s1->s2, g2-s2->s1, g1-s2->s7, y1-s4->s6, b1-s5->s3, y4-s6->s4, b0-s0, y7-s1, b7-s5, y5-s1, g4-s2, b3-s5, y6-s6, b2-s0, y9-s1, b9-s5, g3-s1, g6-s2, y8-s6, b4-s0, g7-s1, g5-s1, y0-s2, b6-s0, g9-s1, b8-s0, 
31: y1-s4->s6, y4-s6->s4, y6-s6, y8-s6, b0-s0, b2-s0, y7-s1, g8-s2, b5-s5, g0-s1->s0, y3-s1->s2, g4-s2->s1, g1-s2->s7, y2-s4->s2, b1-s5->s3, b4-s0, y9-s1, b7-s5, y5-s1, g6-s2, b3-s5, b6-s0, g7-s1, b9-s5, g3-s1, y0-s2, b8-s0, g9-s1, g5-s1, g2-s1, 
32: b5-s5, b0-s0->s1, g0-s1->s0, y3-s1->s2, g4-s2->s1, y2-s4->s2, y1-s4->s6, b1-s5->s3, y4-s6->s4, b2-s0, y7-s1, b7-s5, y5-s1, g6-s2, b3-s5, y6-s6, b4-s0, y9-s1, b9-s5, g3-s1, y0-s2, y8-s6, b6-s0, g7-s1, g5-s1, g8-s2, b8-s0, g9-s1, g2-s1, g1-s2->s7, 
33: b0-s0->s1, y3-s1->s2, g4-s2->s1, y2-s4->s2, y1-s4->s6, b1-s5->s3, y4-s6->s4, b2-s0, y5-s1, g6-s2, b3-s5, y6-s6, b4-s0, g3-s1, y0-s2, y8-s6, b6-s0, g5-s1, g8-s2, b8-s0, g0-s0, b5-s5, y7-s1, b7-s5, g1-s7, y9-s1, b9-s5, g7-s1, g9-s1, g2-s1, 
34: b5-s5, b0-s0->s1, y3-s1->s2, g4-s2->s1, y2-s4->s2, y1-s4->s6, b1-s5->s3, y4-s6->s4, g1-s7->s2, b2-s0, y9-s1, b7-s5, y5-s1, g6-s2, b3-s5, y6-s6, b4-s0, g7-s1, b9-s5, g3-s1, y0-s2, y8-s6, b6-s0, g9-s1, g5-s1, g8-s2, b8-s0, g2-s1, y7-s1, g0-s0, 
35: y9-s1, y3-s2, y5-s1->s2, y1-s4->s6, b1-s5->s3, g1-s7->s2, b2-s0, g7-s1, y2-s2, g3-s1, b3-s5, b4-s0, g9-s1, g5-s1, b6-s0, g2-s1, y7-s1, b8-s0, b0-s1, g0-s0, g4-s2->s1, g6-s2, y0-s2, g8-s2, b5-s5, y4-s6->s4, b7-s5, y6-s6, b9-s5, y8-s6, 
36: b4-s0, y2-s2, b7-s5, y5-s1->s2, g4-s2->s1, y3-s2->s4, y4-s6->s4, b6-s0, b9-s5, g3-s1, g6-s2, y6-s6, b8-s0, g5-s1, y0-s2, y8-s6, g0-s0, y7-s1, g8-s2, y9-s1, b1-s5->s3, b3-s5, g1-s7->s2, g7-s1, b2-s0->s1, y1-s4->s6, b5-s5, g9-s1, g2-s1, b0-s1, 
37: g7-s1, g9-s1, g2-s1, b0-s1, g1-s7->s2, y2-s2, y5-s1->s2, y3-s2->s4, g3-s1, g5-s1, y7-s1, y9-s1, y4-s6->s4, y6-s6, y8-s6, b4-s0, b6-s0, b7-s5, y1-s6, b2-s0->s1, g4-s2->s1, b1-s5->s3, b8-s0, b9-s5, g6-s2, b3-s5, g0-s0, y0-s2, b5-s5, g8-s2, 
38: b4-s0, y3-s2->s4, b1-s5->s3, y6-s6->s4, g1-s7->s2, b6-s0, g7-s1, y4-s4, b7-s5, y1-s6, b2-s0->s1, y5-s1->s2, g4-s2->s1, b3-s5, y8-s6, b8-s0, g9-s1, b9-s5, g3-s1, g6-s2, b5-s5, g0-s0, g2-s1, g5-s1, y0-s2, b0-s1, y7-s1, g8-s2, y9-s1, y2-s2, 
39: y3-s2->s4, b1-s5->s3, y6-s6->s4, b4-s0, g7-s1, g1-s2, y4-s4, b9-s5, y1-s6, y5-s1->s2, g4-s2->s1, b3-s5, y8-s6, b6-s0, g9-s1, g3-s1, g6-s2, b5-s5, b8-s0, g2-s1, g5-s1, y0-s2, b7-s5, g0-s0, b0-s1, y7-s1, g8-s2, b2-s1, y9-s1, y2-s2, 
40: b1-s5->s3, y6-s6->s4, b4-s0, y4-s4, b9-s5, y1-s6, y5-s1->s2, g4-s2->s1, b3-s5, y8-s6, b6-s0, y3-s4, g3-s1, g6-s2, b5-s5, b8-s0, g5-s1, y0-s2, b7-s5, g0-s0, y7-s1, g8-s2, y9-s1, y2-s2, g7-s1, g1-s2, g9-s1, g2-s1, b0-s1, b2-s1, 
41: b1-s3, y4-s4, b9-s5, y5-s1->s2, g6-s2->s1, b3-s5->s3, y6-s6->s4, b4-s0, g2-s1, y3-s4, g3-s1, y0-s2, b5-s5, y8-s6, b6-s0, b0-s1, g5-s1, g8-s2, b7-s5, y1-s6, b8-s0, b2-s1, y7-s1, y2-s2, g0-s0, g4-s1, y9-s1, g1-s2, g7-s1, g9-s1, 
42: g6-s2->s1, b3-s5->s3, y6-s6->s4, b4-s0, g2-s1, b1-s3, y4-s4, b9-s5, y5-s1->s2, y0-s2, b5-s5, y8-s6, b6-s0, b0-s1, y3-s4, g3-s1, g8-s2, b7-s5, y1-s6, b8-s0, b2-s1, g5-s1, y2-s2, g0-s0, g4-s1, y7-s1, g1-s2, y9-s1, g7-s1, g9-s1, 
43: g6-s2->s1, b3-s5->s3, y6-s6->s4, b6-s0, b1-s3, y4-s4, y5-s1->s2, y0-s2, b5-s5, y8-s6, b8-s0, y3-s4, g3-s1, g8-s2, b7-s5, y1-s6, g0-s0, g5-s1, y2-s2, y7-s1, g1-s2, y9-s1, g7-s1, g9-s1, b4-s0->s1, b9-s5, g2-s1, b0-s1, b2-s1, g4-s1, 
44: y5-s2, y3-s4, b9-s5, b4-s0->s1, g3-s1->s2, g6-s2->s1, b1-s3->s1, y4-s4->s2, b3-s5->s3, b8-s0, g2-s1, b6-s0, g5-s1, y0-s2, b5-s5, g0-s0, b0-s1, y7-s1, g8-s2, b7-s5, b2-s1, y9-s1, y2-s2, g4-s1, g7-s1, g1-s2, g9-s1, y6-s6->s4, y8-s6, y1-s6, 
45: b8-s0, g2-s1, y5-s2, g3-s1->s2, b1-s3->s1, y4-s4->s2, y3-s4->s6, y6-s6->s4, g0-s0, b0-s1, g5-s1, y8-s6, b2-s1, y7-s1, y1-s6, g4-s1, y9-s1, g7-s1, g9-s1, b4-s0->s1, b6-s0, g6-s2->s1, y0-s2, b3-s5->s3, g8-s2, b5-s5, y2-s2, b7-s5, g1-s2, b9-s5, 
46: y5-s2->s4, b1-s3->s1, y4-s4->s2, y3-s4->s6, b3-s5->s3, b5-s5, b7-s5, b9-s5, b8-s0, y6-s6->s4, g0-s0, b0-s1, b4-s0->s1, g2-s1->s0, g3-s1->s2, g6-s2->s1, y8-s6, b2-s1, b6-s0, g5-s1, y0-s2, y1-s6, g4-s1, y7-s1, g8-s2, y9-s1, y2-s2, g7-s1, g1-s2, g9-s1, 
47: g6-s2->s1, y5-s2->s4, y4-s4->s2, y3-s4->s6, b3-s5->s3, y6-s6->s4, g3-s1->s2, y0-s2, b5-s5, y8-s6, g5-s1, g8-s2, b7-s5, y1-s6, y7-s1, y2-s2, b9-s5, y9-s1, g1-s2, g7-s1, g9-s1, b8-s0, b1-s3->s1, g0-s0, b0-s1, b6-s0->s1, g2-s1->s0, b2-s1, g4-s1, b4-s1, 
48: b6-s0->s1, g2-s1->s0, g6-s2->s1, y5-s2->s4, b1-s3->s1, y6-s6->s4, b8-s0, b0-s1, y0-s2, y8-s6, g0-s0, b2-s1, g8-s2, y1-s6, g4-s1, y2-s2, b4-s1, g1-s2, y4-s2, g3-s1->s2, y3-s4->s6, b3-s5->s3, g5-s1, b5-s5, y7-s1, b7-s5, y9-s1, b9-s5, g7-s1, g9-s1, 
49: y5-s2->s4, y8-s6->s4, b8-s0, b0-s1, y1-s6, g0-s0, b2-s1, g2-s0, g4-s1, b4-s1, g6-s1, b1-s3->s1, y6-s4, b6-s0->s1, g3-s1->s2, y0-s2->s1, y3-s4->s6, b3-s5->s3, g5-s1, g8-s2, b5-s5, y7-s1, y2-s2, b7-s5, y9-s1, g1-s2, b9-s5, g7-s1, y4-s2, g9-s1, 
50: b0-s1->s3, y0-s2->s1, y3-s4->s6, b3-s5->s3, y8-s6->s4, b8-s0, b2-s1, y6-s4, g3-s1->s2, g8-s2, b5-s5, y1-s6, g0-s0, g4-s1, y5-s4, g5-s1, y2-s2, b7-s5, g2-s0, b4-s1, y7-s1, g1-s2, b9-s5, g6-s1, y9-s1, y4-s2, b6-s1, g7-s1, b1-s1, g9-s1, 
51: b0-s1->s3, y0-s2->s1, y3-s4->s6, b5-s5->s3, g0-s0, b8-s0->s1, g3-s1->s2, g8-s2, b7-s5, g2-s0, g5-s1, y2-s2, b9-s5, y7-s1, g1-s2, y9-s1, y4-s2, g7-s1, g9-s1, y8-s6->s4, y1-s6, b3-s3, y6-s4, y5-s4, b2-s1, g4-s1, b4-s1, g6-s1, b6-s1, b1-s1, 
52: g3-s2, y6-s4, b8-s0->s1, g5-s1->s2, b0-s1->s3, y0-s2->s1, b3-s3->s1, y3-s4->s6, b5-s5->s3, y8-s6->s4, g0-s0, b2-s1, y5-s4, y7-s1, g8-s2, b7-s5, y1-s6, g2-s0, g4-s1, y9-s1, y2-s2, b9-s5, b4-s1, g7-s1, g1-s2, g6-s1, g9-s1, y4-s2, b6-s1, b1-s1, 
53: g3-s2, y6-s4, b8-s0->s1, g5-s1->s2, b0-s1->s3, y0-s2->s1, y3-s4->s6, b5-s5->s3, y8-s6->s4, g0-s0, b2-s1, y5-s4, y7-s1, g8-s2, b7-s5, y1-s6, g2-s0, g4-s1, y9-s1, y2-s2, b9-s5, b4-s1, g7-s1, g1-s2, g6-s1, g9-s1, y4-s2, b6-s1, b1-s1, b3-s3->s1, 
54: g2-s0, y6-s4, g0-s0->s1, g5-s1->s2, b0-s1->s3, y0-s2->s1, g3-s2->s7, b3-s3->s1, y3-s4->s6, b5-s5->s3, b2-s1, y5-s4, y7-s1, g8-s2, b7-s5, g4-s1, y9-s1, y2-s2, b9-s5, b4-s1, g7-s1, g1-s2, g6-s1, g9-s1, y4-s2, b6-s1, b1-s1, b8-s1, y8-s6->s4, y1-s6, 
55: g2-s0, y6-s4, g0-s0->s1, y0-s2->s1, g3-s2->s7, b5-s5->s3, y8-s6->s4, y5-s4, g8-s2, b7-s5, y1-s6, y2-s2, b9-s5, g1-s2, y4-s2, y3-s6, b3-s3->s1, g4-s1, g5-s1->s2, b0-s1->s3, b4-s1, y7-s1, b2-s1, g6-s1, y9-s1, b6-s1, g7-s1, b1-s1, g9-s1, b8-s1, 
56: y8-s6->s4, g0-s0->s1, g5-s1->s2, b0-s1->s3, g3-s2->s7, b3-s3->s1, y6-s4->s2, y1-s6, g4-s1, y7-s1, b2-s1, b4-s1, y9-s1, g6-s1, g7-s1, b6-s1, g9-s1, b1-s1, b8-s1, y3-s6, g2-s0, y5-s4, y0-s2->s1, b5-s5->s3, g8-s2, b7-s5, y2-s2, b9-s5, g1-s2, y4-s2, 
57: g3-s2->s7, b3-s3->s1, y6-s4->s2, b5-s5->s3, y8-s6->s4, g2-s0, b4-s1, b0-s3, y5-s4, g4-s1->s0, g5-s1->s2, b2-s1->s3, g8-s2->s1, b7-s5, y1-s6, g6-s1, y7-s1, y2-s2, b9-s5, y3-s6, b6-s1, y9-s1, g1-s2, b1-s1, g7-s1, y4-s2, b8-s1, g9-s1, g0-s1, y0-s1, 
58: y5-s4, g4-s1->s0, g5-s1->s2, b2-s1->s3, g8-s2->s1, g3-s2->s7, b0-s3->s5, y6-s4->s2, b5-s5->s3, y8-s6->s4, g2-s0, y7-s1, b4-s1, y2-s2, b7-s5, y1-s6, y9-s1, g1-s2, b9-s5, y3-s6, g7-s1, y4-s2, g9-s1, g6-s1, b6-s1, b1-s1, b8-s1, g0-s1, y0-s1, b3-s1, 
59: g3-s7, g4-s1->s0, g5-s1->s2, b2-s1->s3, g8-s2->s1, b0-s3->s5, y6-s4->s2, y5-s4->s6, b5-s5->s3, y8-s6->s4, g2-s0, g6-s1, y7-s1, b4-s1, y2-s2, b7-s5, y1-s6, b6-s1, y9-s1, g1-s2, b9-s5, y3-s6, b1-s1, g7-s1, y4-s2, b8-s1, g9-s1, g0-s1, y0-s1, b3-s1, 
60: g5-s2, b5-s3, g4-s1->s0, y7-s1->s2, b2-s1->s3, g8-s2->s1, b0-s3->s5, y5-s4->s6, b7-s5->s3, y1-s6->s4, g3-s7->s2, g2-s0, b6-s1, y6-s2, g6-s1, y9-s1, y2-s2, b9-s5, y3-s6, b1-s1, g7-s1, g1-s2, b8-s1, g9-s1, y4-s2, g0-s1, y0-s1, b3-s1, b4-s1, y8-s4, 
61: g5-s2, y7-s1->s2, y5-s4->s6, y1-s6->s4, g3-s7->s2, y6-s2, y9-s1, y3-s6, g7-s1, g9-s1, g8-s2->s1, y2-s2, g1-s2, y4-s2, g4-s0, b0-s3->s5, b7-s5->s3, b6-s1, b5-s3, y8-s4, g2-s0->s1, g6-s1->s0, b2-s1->s3, b9-s5, b1-s1, b4-s1, b8-s1, g0-s1, y0-s1, b3-s1, 
62: y6-s2, b5-s3, y8-s4, g2-s0->s1, g6-s1->s0, y7-s1->s2, b2-s1->s3, g8-s2->s1, g5-s2->s7, b0-s3->s5, y5-s4->s6, b7-s5->s3, y1-s6->s4, g3-s7->s2, g4-s0, b1-s1, y9-s1, b4-s1, y2-s2, b9-s5, y3-s6, b8-s1, g7-s1, b6-s1, g1-s2, g0-s1, g9-s1, y4-s2, y0-s1, b3-s1, 
63: y8-s4, g2-s0->s1, y7-s1->s2, b5-s3->s1, y1-s6->s4, g4-s0, y9-s1, y3-s6, g7-s1, g9-s1, g8-s2->s1, y2-s2, g1-s2, y4-s2, g3-s7->s2, g5-s2->s7, b0-s3->s5, y5-s4->s6, b7-s5->s3, b1-s1, y6-s2, g6-s1->s0, b2-s1->s3, b9-s5, b8-s1, b4-s1, g0-s1, b6-s1, y0-s1, b3-s1, 
64: y8-s4, g2-s0->s1, y7-s1->s2, b5-s3->s1, b0-s3->s5, y5-s4->s6, b7-s5->s3, y1-s6->s4, b1-s1, g4-s0, y9-s1, b9-s5, y3-s6, b8-s1, g7-s1, g0-s1, g9-s1, y0-s1, b3-s1, g8-s2->s1, y2-s2, g1-s2, y4-s2, y6-s2, g6-s0, g5-s2->s7, g3-s7->s2, b2-s1->s3, b4-s1, b6-s1, 
65: y2-s2->s1, g5-s2->s7, b5-s3->s1, b0-s3->s5, y8-s4->s2, y5-s4->s6, b7-s5->s3, y1-s6->s4, g6-s0, b1-s1, g3-s2, b2-s3, g4-s0->s1, y7-s1->s2, b4-s1->s3, g1-s2, b9-s5, y3-s6, b8-s1, y9-s1, b6-s1, y4-s2, g0-s1, g7-s1, y6-s2, y0-s1, g9-s1, b3-s1, g2-s1, g8-s1, 
66: b5-s3->s1, g6-s0, b0-s3->s5, y8-s4->s2, y5-s4->s6, b7-s5->s3, y1-s6->s4, b8-s1, g4-s0->s1, b1-s1->s0, y7-s1->s2, b4-s1->s3, y2-s2->s1, g5-s2->s7, b2-s3, b9-s5, y3-s6, g0-s1, y9-s1, b6-s1, g1-s2, y0-s1, g7-s1, y4-s2, b3-s1, g9-s1, y6-s2, g2-s1, g3-s2, g8-s1, 
