0: g0-s1, y1-s2, b0-s0, g1-s3, y0-s3, b1-s3, 
108: g1-s0, y1-s2, b1-s2, y0-s2, b0-s3, g0-s3, 
109: g1-s0, y1-s2, b0-s3, b1-s2, g0-s3, y0-s2, 
110: y1-s2->s1, b0-s3->s2, b1-s2, y0-s2, g1-s0, g0-s3, 
111: g0-s3, y1-s2->s1, b0-s3->s2, b1-s2, y0-s2, g1-s0, 
112: y1-s2->s1, g1-s0, b1-s2, y0-s2, b0-s2, g0-s3, 
113: g1-s0->s1, y1-s2->s1, b1-s2, y0-s2, b0-s2, g0-s3, 
114: b1-s2, y0-s2, b0-s2, g1-s1, g0-s3->s0, y1-s1, 
115: b1-s2, g1-s1->s0, g0-s3->s0, y1-s1, y0-s2, b0-s2, 
116: b1-s2->s0, g0-s3->s0, g1-s0, y1-s1, y0-s2, b0-s2, 
117: g1-s0, b1-s2->s0, g0-s0, y1-s1, y0-s2, b0-s2, 
118: y1-s1->s3, g1-s0, g0-s0, b1-s0, b0-s2, y0-s2->s1, 
119: y1-s3, g1-s0, y0-s2->s1, g0-s0, b0-s2, b1-s0, 
120: g1-s0, g0-s0, b1-s0, y1-s3, y0-s2->s1, b0-s2->s0, 
121: y0-s2->s1, g1-s0, y1-s3, b0-s2->s0, g0-s0, b1-s0, 
122: g1-s0->s3, g0-s0, b1-s0, b0-s0, y1-s3, y0-s1, 
123: g0-s0, g1-s0->s3, y1-s3->s1, b1-s0, y0-s1, b0-s0, 
124: y0-s1, g1-s0->s3, g0-s0, y1-s1, b1-s0, b0-s0, 
125: g1-s3, g0-s0, y1-s1, y0-s1->s3, b1-s0, b0-s0, 
126: y1-s1, g1-s3, g0-s0, y0-s3, b1-s0, b0-s0, 
127: y1-s1, g1-s3, g0-s0, y0-s3, b1-s0, b0-s0, 
128: g1-s3, g0-s0, y0-s3, b1-s0, b0-s0, y1-s1->s2, 
129: y1-s1->s2, g1-s3->s0, g0-s0, b1-s0, b0-s0, y0-s3, 
130: g0-s0, y1-s1->s2, g1-s3->s0, b1-s0, b0-s0, y0-s3, 
131: g0-s0->s1, y1-s1->s2, b1-s0, b0-s0, y0-s3->s1, g1-s3->s0, 
132: b1-s0, g0-s1, y1-s2, b0-s0, y0-s1, g1-s0, 
133: y1-s2, b1-s0, b0-s0, g1-s0, g0-s1, y0-s1, 
134: y1-s2, b1-s0->s2, g0-s1->s0, b0-s0, y0-s1, g1-s0, 
135: y0-s1, y1-s2, b1-s0->s2, b0-s0, g1-s0, g0-s0, 
136: y0-s1, b0-s0, g1-s0, g0-s0, y1-s2, b1-s2, 
137: b0-s0->s2, g1-s0, g0-s0, y0-s1->s2, y1-s2, b1-s2, 
138: b0-s0->s2, y0-s1->s2, g1-s0, g0-s0, b1-s2, y1-s2->s1, 
139: g1-s0, y1-s2->s1, g0-s0, y0-s1->s2, b1-s2, b0-s2, 
140: y1-s2->s1, b1-s2, b0-s2, y0-s1->s2, g1-s0, g0-s0, 
141: g1-s0, g0-s0, b1-s2, b0-s2, y1-s2->s1, y0-s2, 
142: y1-s1, g1-s0, b1-s2, g0-s0, b0-s2, y0-s2, 
143: y1-s1->s3, g1-s0, b1-s2, g0-s0, b0-s2, y0-s2, 
144: y1-s3, g1-s0, b1-s2->s3, g0-s0, b0-s2, y0-s2, 
145: y1-s3, b1-s2->s3, b0-s2, y0-s2, g1-s0, g0-s0, 
146: y1-s3, g1-s0->s1, b1-s3, g0-s0, b0-s2, y0-s2, 
147: g1-s1, g0-s0, b0-s2, b1-s3, y1-s3->s1, y0-s2, 
148: b0-s2, y0-s2, g0-s0, g1-s1->s0, b1-s3->s2, y1-s1, 
149: y0-s2, b1-s3->s2, g0-s0, y1-s1, g1-s0, b0-s2->s3, 
150: y1-s1, g0-s0, y0-s2, b0-s2->s3, g1-s0, b1-s2, 
151: b0-s3, g0-s0, y1-s1->s2, g1-s0, y0-s2, b1-s2, 
152: b0-s3, y1-s1->s2, y0-s2->s1, g0-s0, b1-s2, g1-s0, 
153: b1-s2, y1-s1->s2, y0-s2->s1, b0-s3->s2, g0-s0, g1-s0, 
154: b1-s2, y0-s2->s1, b0-s3->s2, g0-s0, g1-s0, y1-s1->s2, 
155: g1-s0, b1-s2, b0-s2, g0-s0->s3, y0-s2->s1, y1-s2, 
156: g0-s0->s3, y0-s1, b1-s2, b0-s2, y1-s2, g1-s0, 
157: y0-s1, g1-s0, b0-s2, g0-s0->s3, b1-s2->s0, y1-s2, 
158: y0-s1->s3, b1-s2->s0, g1-s0, b0-s2, y1-s2, g0-s3, 
159: g0-s3, y0-s3, g1-s0, b1-s2->s0, y1-s2, b0-s2, 
160: g1-s0, y1-s2, g0-s3, b0-s2->s0, b1-s0, y0-s3, 
161: y1-s2->s1, g1-s0, g0-s3, b1-s0, y0-s3, b0-s2->s0, 
162: y1-s2->s1, g0-s3->s0, g1-s0, y0-s3, b1-s0, b0-s0, 
163: b1-s0, b0-s0, g0-s3->s0, y0-s3, y1-s2->s1, g1-s0->s3, 
164: y0-s3->s1, b1-s0, g1-s0->s3, b0-s0, y1-s2->s1, g0-s3->s0, 
165: y0-s1, b1-s0, y1-s1, b0-s0, g0-s0, g1-s0->s3, 
166: y1-s1, g1-s3, b1-s0, b0-s0, g0-s0, y0-s1->s2, 
167: y1-s1, b1-s0->s2, y0-s1->s2, b0-s0, g0-s0, g1-s3->s0, 
168: b0-s0, y1-s1, b1-s0->s2, y0-s1->s2, g1-s3->s0, g0-s0, 
169: b1-s2, y1-s1->s3, b0-s0, g0-s0, y0-s1->s2, g1-s3->s0, 
170: b0-s0, g0-s0, b1-s2, y1-s3, g1-s0, y0-s2, 
171: y1-s3, b0-s0, b1-s2, g0-s0, y0-s2, g1-s0, 
172: b1-s2, y0-s2, y1-s3, b0-s0, g0-s0, g1-s0, 
173: b1-s2, y1-s3, b0-s0, y0-s2, g0-s0, g1-s0, 
174: b1-s2, b0-s0->s2, y0-s2, y1-s3->s1, g0-s0, g1-s0, 
175: g0-s0, y1-s1, y0-s2, b0-s0->s2, b1-s2->s3, g1-s0, 
176: g1-s0, y1-s1, y0-s2, g0-s0->s1, b1-s2->s3, b0-s2, 
177: b1-s3, y1-s1->s2, g0-s1, y0-s2, b0-s2, g1-s0, 
178: b1-s3, y0-s2->s1, g1-s0, g0-s1, b0-s2, y1-s1->s2, 
179: g1-s0->s1, y1-s1->s2, y0-s2->s1, g0-s1, b0-s2, b1-s3->s2, 
180: y0-s2->s1, g1-s1, y1-s1->s2, g0-s1->s0, b0-s2->s3, b1-s3->s2, 
181: g0-s0, y0-s2->s1, b0-s2->s3, b1-s2, g1-s1, y1-s2, 
182: b0-s3, g0-s0, g1-s1, b1-s2, y0-s1, y1-s2, 
183: b0-s3, g0-s0, g1-s1->s0, y0-s1, b1-s2, y1-s2, 
184: b0-s3, g0-s0, y0-s1, b1-s2, g1-s0, y1-s2, 
185: b0-s3, g0-s0, b1-s2, g1-s0, y1-s2, y0-s1->s3, 
186: y0-s3, b0-s3->s2, g0-s0, b1-s2, g1-s0, y1-s2, 
187: b1-s2->s0, b0-s3->s2, g0-s0, y1-s2, g1-s0, y0-s3, 
188: y1-s2, y0-s3, g0-s0, b0-s2, g1-s0, b1-s2->s0, 
189: y1-s2, y0-s3, b0-s2, g0-s0, g1-s0, b1-s0, 
190: g0-s0->s3, y0-s3->s1, g1-s0, b1-s0, b0-s2, y1-s2->s1, 
191: g0-s0->s3, g1-s0, y1-s2->s1, b1-s0, y0-s1, b0-s2, 
192: g0-s0->s3, y1-s2->s1, g1-s0, y0-s1, b0-s2, b1-s0, 
193: g1-s0, b0-s2, g0-s3, y0-s1->s2, y1-s2->s1, b1-s0, 
194: y1-s1, b0-s2, g0-s3, g1-s0->s3, y0-s1->s2, b1-s0, 
195: g1-s0->s3, y0-s1->s2, y1-s1->s3, b0-s2->s0, b1-s0, g0-s3->s0, 
196: y1-s3, b1-s0->s2, g1-s0->s3, g0-s3->s0, y0-s1->s2, b0-s2->s0, 
197: g0-s3->s0, b0-s0, y0-s2, y1-s3, b1-s0->s2, g1-s3, 
198: b0-s0, g0-s0, y1-s3, g1-s3, y0-s2, b1-s2, 
199: b0-s0, g1-s3, g0-s0, y0-s2, b1-s2, y1-s3->s1, 
200: g1-s3->s0, b0-s0, y1-s1, y0-s2, g0-s0, b1-s2, 
201: b0-s0, g1-s3->s0, g0-s0, y1-s1, y0-s2, b1-s2, 
202: y1-s1->s2, g1-s3->s0, y0-s2, b1-s2, b0-s0, g0-s0, 
203: y1-s1->s2, b0-s0, y0-s2->s1, g0-s0, b1-s2, g1-s0, 
204: y1-s1->s2, y0-s2->s1, b0-s0, g0-s0, g1-s0, b1-s2, 
205: b1-s2, y1-s1->s2, y0-s2->s1, b0-s0, g0-s0, g1-s0, 
206: y1-s2, b0-s0->s2, y0-s2->s1, g0-s0, g1-s0, b1-s2->s3, 
207: y0-s1, y1-s2, b0-s0->s2, b1-s2->s3, g0-s0, g1-s0, 
208: g0-s0, y0-s1, y1-s2, b1-s3, g1-s0, b0-s2, 
209: g0-s0, y0-s1, g1-s0, y1-s2, b0-s2, b1-s3, 
210: y0-s1->s3, g0-s0, g1-s0, b1-s3->s2, b0-s2, y1-s2->s1, 
211: g1-s0, y0-s3, g0-s0->s1, y1-s2->s1, b1-s3->s2, b0-s2->s3, 
212: g1-s0, b1-s2, y0-s3, b0-s2->s3, y1-s2->s1, g0-s1, 
213: b1-s2, g0-s1->s0, y1-s2->s1, g1-s0, y0-s3, b0-s3, 
214: g1-s0, y1-s1, b1-s2, b0-s3, g0-s0, y0-s3->s1, 
215: y0-s1, y1-s1->s3, b0-s3->s2, g1-s0, g0-s0, b1-s2->s0, 
216: g1-s0, y0-s1, y1-s3, b1-s2->s0, b0-s3->s2, g0-s0, 
217: g1-s0, g0-s0, b1-s0, y1-s3->s1, y0-s1, b0-s2, 
218: g1-s0, y1-s1, b0-s2, g0-s0, b1-s0, y0-s1->s2, 
219: g0-s0, b1-s0, y0-s1->s2, y1-s1, b0-s2, g1-s0->s1, 
220: y0-s1->s2, g0-s0, b0-s2, y1-s1, b1-s0, g1-s1, 
221: b0-s2, g1-s1->s0, g0-s0, b1-s0, y0-s1->s2, y1-s1, 
222: b0-s2->s0, g0-s0, y0-s1->s2, b1-s0, y1-s1, g1-s0, 
223: y0-s2, y1-s1->s2, g0-s0, b1-s0, g1-s0, b0-s2->s0, 
224: y0-s2, y1-s1->s2, g0-s0, b1-s0, g1-s0, b0-s0, 
225: y1-s1->s2, g0-s0, b1-s0, g1-s0, b0-s0, y0-s2->s1, 
226: y1-s1->s2, y0-s2->s1, g0-s0, b1-s0, g1-s0, b0-s0, 
227: g0-s0, b1-s0, g1-s0, b0-s0, y0-s2->s1, y1-s2, 
228: y0-s2->s1, y1-s2, b1-s0, g1-s0, b0-s0, g0-s0->s3, 
229: g0-s0->s3, y0-s2->s1, b1-s0, y1-s2, g1-s0, b0-s0, 
230: y0-s1, g0-s0->s3, y1-s2->s1, b1-s0, g1-s0, b0-s0, 
231: b1-s0, g0-s3, y0-s1->s3, y1-s2->s1, g1-s0, b0-s0, 
232: y1-s2->s1, b1-s0, g1-s0, b0-s0, g0-s3, y0-s3, 
233: b1-s0->s2, y1-s2->s1, g1-s0, b0-s0, g0-s3, y0-s3, 
234: g1-s0, y1-s1, b0-s0, g0-s3->s0, y0-s3, b1-s0->s2, 
235: g0-s3->s0, g1-s0, y1-s1, b1-s2, y0-s3, b0-s0, 
236: y0-s3->s1, g1-s0, b0-s0, y1-s1, b1-s2, g0-s3->s0, 
237: y1-s1->s3, y0-s1, g1-s0, b0-s0, b1-s2, g0-s0, 
238: b1-s2, y0-s1->s2, g1-s0, b0-s0, g0-s0, y1-s3, 
239: b1-s2, y1-s3, b0-s0, g0-s0, y0-s1->s2, g1-s0->s3, 
240: y0-s1->s2, b1-s2->s3, y1-s3->s1, g0-s0, b0-s0->s2, g1-s0->s3, 
241: y0-s1->s2, g0-s0, y1-s1, b0-s0->s2, g1-s0->s3, b1-s2->s3, 
242: b0-s2, b1-s3, y0-s2, g1-s3, g0-s0, y1-s1, 
243: b0-s2, y1-s1->s2, g0-s0, y0-s2, b1-s3->s2, g1-s3, 
244: g1-s3, g0-s0->s1, y1-s1->s2, b1-s3->s2, b0-s2, y0-s2, 
245: y1-s1->s2, b0-s2->s3, g0-s1, y0-s2, g1-s3, b1-s2, 
246: y1-s1->s2, b0-s2->s3, g1-s3->s0, g0-s1, y0-s2, b1-s2, 
247: g0-s1->s0, b1-s2, y1-s2, b0-s3, y0-s2->s1, g1-s3->s0, 
248: g0-s0, y1-s2, b1-s2->s0, y0-s2->s1, g1-s3->s0, b0-s3->s2, 
249: b1-s2->s0, g0-s0, y0-s2->s1, b0-s3->s2, g1-s0, y1-s2, 
250: y1-s2, y0-s2->s1, g0-s0, b0-s2, g1-s0, b1-s0, 
251: y1-s2, y0-s1, b0-s2, g0-s0, g1-s0, b1-s0, 
252: y0-s1, g0-s0, y1-s2, g1-s0, b0-s2, b1-s0, 
253: y0-s1->s3, g0-s0, g1-s0, b1-s0, b0-s2, y1-s2->s1, 
254: g0-s0, g1-s0, b0-s2, y0-s3, y1-s2->s1, b1-s0, 
255: y0-s3, g0-s0->s3, y1-s2->s1, g1-s0, b1-s0, b0-s2->s0, 
256: y0-s3, g0-s0->s3, b0-s2->s0, y1-s2->s1, g1-s0, b1-s0, 
257: y1-s1, g1-s0->s1, g0-s0->s3, y0-s3->s1, b1-s0, b0-s0, 
258: y1-s1, g0-s3, b0-s0, g1-s1, y0-s1, b1-s0->s2, 
259: y1-s1, g1-s1, y0-s1, b1-s0->s2, b0-s0, g0-s3, 
260: y1-s1->s3, b0-s0, b1-s2, g1-s1, g0-s3, y0-s1, 
261: b1-s2, y1-s3, g1-s1, y0-s1, b0-s0, g0-s3->s0, 
262: b1-s2, b0-s0, y1-s3, g1-s1, y0-s1, g0-s3->s0, 
263: b1-s2, y1-s3->s1, g1-s1->s0, y0-s1, g0-s3->s0, b0-s0, 
264: b0-s0, g1-s0, y0-s1, g0-s0, y1-s1, b1-s2->s3, 
265: b0-s0->s2, y0-s1->s2, g1-s0, b1-s2->s3, g0-s0, y1-s1, 
266: b0-s0->s2, g1-s0, g0-s0, y0-s1->s2, b1-s3, y1-s1, 
267: y0-s1->s2, g1-s0, b0-s2, g0-s0, b1-s3, y1-s1, 
268: b0-s2, b1-s3, y0-s1->s2, y1-s1, g1-s0, g0-s0, 
269: y0-s1->s2, b1-s3, y1-s1, g0-s0, b0-s2, g1-s0->s3, 
270: y1-s1->s2, b1-s3->s2, g0-s0, g1-s0->s3, b0-s2, y0-s2, 
271: b0-s2->s3, g0-s0, b1-s3->s2, y0-s2, g1-s0->s3, y1-s1->s2, 
272: g1-s3, y1-s1->s2, b0-s2->s3, y0-s2, g0-s0->s1, b1-s2, 
273: y1-s1->s2, g1-s3, g0-s1, y0-s2, b0-s3, b1-s2, 
274: b1-s2, g1-s3, y0-s2->s1, g0-s1, y1-s2, b0-s3, 
275: b1-s2, b0-s3, y1-s2, g0-s1, g1-s3->s0, y0-s2->s1, 
276: b0-s3, g0-s1->s0, y0-s2->s1, g1-s3->s0, b1-s2, y1-s2, 
277: y0-s2->s1, g0-s0, b1-s2, y1-s2, b0-s3, g1-s3->s0, 
278: g1-s0, b0-s3->s2, b1-s2, y0-s1, y1-s2, g0-s0->s3, 
279: b1-s2->s0, b0-s3->s2, g1-s0, y0-s1, y1-s2, g0-s0->s3, 
280: b1-s2->s0, g1-s0, y1-s2, g0-s0->s3, b0-s2, y0-s1->s3, 
281: g0-s3, y0-s3, g1-s0, b1-s0, y1-s2, b0-s2, 
282: g1-s0, b1-s0, g0-s3, y0-s3, y1-s2, b0-s2, 
283: g0-s3, y1-s2, y0-s3, b0-s2, g1-s0, b1-s0, 
284: b0-s2, y0-s3, y1-s2->s1, g0-s3->s0, g1-s0, b1-s0, 
285: y0-s3, b1-s0, b0-s2, g1-s0->s1, y1-s2->s1, g0-s3->s0, 
286: b1-s0, b0-s2, g1-s1, y0-s3, y1-s2->s1, g0-s3->s0, 
287: g1-s1, b1-s0->s2, g0-s0, y1-s2->s1, b0-s2, y0-s3, 
288: y0-s3->s1, g0-s0, g1-s1, b1-s0->s2, b0-s2->s0, y1-s1, 
289: g1-s1->s0, g0-s0, y1-s1, y0-s1, b1-s2, b0-s2->s0, 
290: g0-s0, b1-s2, b0-s0, y1-s1, g1-s0, y0-s1, 
291: g0-s0, b1-s2, y1-s1->s3, b0-s0, y0-s1, g1-s0, 
292: g0-s0, y0-s1, b1-s2, y1-s3, b0-s0, g1-s0, 
293: b1-s2, b0-s0, y1-s3, g0-s0->s1, y0-s1->s2, g1-s0, 
294: g0-s1, y0-s1->s2, b0-s0, g1-s0, b1-s2->s3, y1-s3->s1, 
295: b0-s0, y1-s1, g0-s1->s0, y0-s1->s2, b1-s2->s3, g1-s0, 
296: b1-s3, b0-s0, y0-s1->s2, g1-s0, y1-s1, g0-s0, 
297: y0-s1->s2, y1-s1, b1-s3, b0-s0, g1-s0, g0-s0, 
298: b0-s0, y0-s2, y1-s1->s2, g1-s0, g0-s0, b1-s3, 
299: y0-s2, b1-s3, b0-s0->s2, g1-s0, g0-s0, y1-s1->s2, 
300: y1-s1->s2, b1-s3->s2, y0-s2, b0-s0->s2, g1-s0, g0-s0, 
301: y0-s2, y1-s1->s2, g1-s0, b0-s2, g0-s0, b1-s3->s2, 
302: g1-s0, g0-s0, y0-s2, b0-s2, b1-s2, y1-s2, 
303: g1-s0, y0-s2, g0-s0, b0-s2, b1-s2, y1-s2, 
304: g1-s0->s3, y0-s2->s1, b0-s2, b1-s2, y1-s2, g0-s0, 
305: y0-s2->s1, g0-s0, b0-s2, g1-s0->s3, b1-s2, y1-s2, 
306: g1-s0->s3, g0-s0, b0-s2, b1-s2, y1-s2, y0-s2->s1, 
307: b0-s2->s3, g0-s0, b1-s2, g1-s3, y0-s2->s1, y1-s2, 
