0: g0-s0, g1-s7, y0-s5, y1-s6, b0-s0, b1-s5, 
1: g0-s0, g1-s7->s2, g2-s0, g3-s7, y0-s5, y1-s6, y2-s5, y3-s6, b0-s0, b1-s5, b2-s0, b3-s5, 
2: g0-s0, g1-s7->s2, g2-s0, g3-s7, g4-s0, g5-s7, y0-s5->s1, y1-s6, y2-s5, y3-s6, y4-s5, y5-s6, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s5, 
3: g0-s0, g1-s7->s2, g2-s0, g3-s7, g4-s0, g5-s7, g6-s0, g7-s7, y0-s5->s1, y1-s6, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, b0-s0, b1-s5, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, 
4: g0-s0->s1, g1-s7->s2, g2-s0, g3-s7, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, y0-s1, y1-s6->s4, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, 
5: g0-s0->s1, g1-s7->s2, g2-s0, g3-s7, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, g10-s0, g11-s7, y0-s1, y1-s6->s4, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, 
6: g0-s0->s1, g1-s2, g2-s0, g3-s7->s2, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, g10-s0, g11-s7, g12-s0, g13-s7, y0-s1, y1-s6->s4, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, 
7: g0-s1, g1-s2, g2-s0, g3-s7->s2, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, g10-s0, g11-s7, g12-s0, g13-s7, g14-s0, g15-s7, y0-s1->s2, y1-s6->s4, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, 
8: g0-s1, g1-s2->s1, g2-s0, g3-s7->s2, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, g10-s0, g11-s7, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, y0-s1->s2, y1-s6->s4, y2-s5, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, 
9: g0-s1, g1-s2->s1, g2-s0, g3-s7->s2, g4-s0, g5-s7, g6-s0, g7-s7, g8-s0, g9-s7, g10-s0, g11-s7, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s1->s2, y1-s6->s4, y2-s5->s1, y3-s6, y4-s5, y5-s6, y6-s5, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s5->s3, b2-s0, b3-s5, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
20: g0-s1->s2, g1-s1->s0, g2-s1, g3-s2->s1, g4-s1, g5-s2, g6-s0, g7-s7->s2, g8-s0, g9-s7, g10-s0, g11-s7, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s4, y1-s4, y2-s1, y3-s6->s4, y4-s1, y5-s6, y6-s1, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s3->s1, b2-s0, b3-s5->s3, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
21: g0-s1->s2, g1-s1->s0, g2-s1, g3-s2->s1, g4-s1, g5-s2, g6-s0, g7-s2, g8-s0, g9-s7->s2, g10-s0, g11-s7, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s4, y1-s4->s2, y2-s1, y3-s6->s4, y4-s1, y5-s6, y6-s1, y7-s6, y8-s5, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s1, b2-s0, b3-s5->s3, b4-s0, b5-s5, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
22: g0-s1->s2, g1-s0, g2-s1, g3-s2->s1, g4-s1, g5-s2, g6-s0, g7-s2, g8-s0, g9-s7->s2, g10-s0, g11-s7, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s4, y1-s4->s2, y2-s1, y3-s6->s4, y4-s1, y5-s6, y6-s1, y7-s6, y8-s5->s1, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s1, b2-s0, b3-s3, b4-s0, b5-s5->s3, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
23: g0-s2, g1-s0, g2-s1, g3-s2->s1, g4-s1, g5-s2, g6-s0->s1, g7-s2, g8-s0, g9-s7->s2, g10-s0, g11-s7, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s4, y1-s4->s2, y2-s1->s2, y3-s6->s4, y4-s1, y5-s6, y6-s1, y7-s6, y8-s5->s1, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s1, b2-s0, b3-s3, b4-s0, b5-s5->s3, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
24: g0-s2->s7, g1-s0, g2-s1, g3-s1, g4-s1, g5-s2->s1, g6-s0->s1, g7-s2, g8-s0, g9-s7->s2, g10-s0, g11-s7, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s4->s6, y1-s4->s2, y2-s1->s2, y3-s4, y4-s1, y5-s6->s4, y6-s1, y7-s6, y8-s1, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s1->s0, b2-s0, b3-s3->s1, b4-s0, b5-s5->s3, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
25: g0-s2->s7, g1-s0, g2-s1, g3-s1, g4-s1, g5-s2->s1, g6-s0->s1, g7-s2, g8-s0, g9-s7->s2, g10-s0, g11-s7, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s4->s6, y1-s2, y2-s1->s2, y3-s4, y4-s1, y5-s6->s4, y6-s1, y7-s6, y8-s1, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s1->s0, b2-s0, b3-s3->s1, b4-s0, b5-s5->s3, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
26: g0-s2->s7, g1-s0, g2-s1, g3-s1, g4-s1, g5-s2->s1, g6-s1, g7-s2, g8-s0, g9-s2, g10-s0, g11-s7->s2, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s4->s6, y1-s2, y2-s1->s2, y3-s4, y4-s1, y5-s6->s4, y6-s1, y7-s6, y8-s1, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s1->s0, b2-s0, b3-s3->s1, b4-s0, b5-s5->s3, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
27: g0-s2->s7, g1-s0, g2-s1, g3-s1, g4-s1, g5-s2->s1, g6-s1, g7-s2, g8-s0, g9-s2, g10-s0, g11-s7->s2, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s4->s6, y1-s2, y2-s1->s2, y3-s4, y4-s1, y5-s6->s4, y6-s1, y7-s6, y8-s1, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s0, b2-s0, b3-s3->s1, b4-s0, b5-s5->s3, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
28: g0-s2->s7, g1-s0, g2-s1, g3-s1->s0, g4-s1, g5-s2->s1, g6-s1, g7-s2, g8-s0, g9-s2, g10-s0, g11-s7->s2, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s4->s6, y1-s2, y2-s1->s2, y3-s4, y4-s1, y5-s6->s4, y6-s1, y7-s6, y8-s1, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s0, b2-s0, b3-s3->s1, b4-s0, b5-s5->s3, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
29: g0-s7, g1-s0, g2-s1, g3-s1->s0, g4-s1, g5-s2->s1, g6-s1, g7-s2, g8-s0, g9-s2, g10-s0, g11-s7->s2, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s4->s6, y1-s2, y2-s1->s2, y3-s4, y4-s1, y5-s6->s4, y6-s1, y7-s6, y8-s1, y9-s6, y10-s5, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s0, b2-s0, b3-s3->s1, b4-s0, b5-s5->s3, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
30: g0-s7, g1-s0, g2-s1, g3-s1->s0, g4-s1, g5-s2->s1, g6-s1, g7-s2, g8-s0, g9-s2, g10-s0, g11-s7->s2, g12-s0, g13-s7, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s4->s6, y1-s2, y2-s1->s2, y3-s4, y4-s1, y5-s6->s4, y6-s1, y7-s6, y8-s1, y9-s6, y10-s5->s1, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s0, b2-s0, b3-s1, b4-s0, b5-s5->s3, b6-s0, b7-s5, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
31: g0-s7, g1-s0, g2-s1, g3-s0, g4-s1, g5-s2->s1, g6-s1, g7-s2, g8-s0, g9-s2, g10-s0, g11-s2, g12-s0, g13-s7->s2, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s4->s6, y1-s2, y2-s2, y3-s4->s2, y4-s1->s2, y5-s6->s4, y6-s1, y7-s6, y8-s1, y9-s6, y10-s5->s1, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s0, b2-s0, b3-s1, b4-s0, b5-s3, b6-s0, b7-s5->s3, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
32: g0-s7, g1-s0, g2-s1, g3-s0, g4-s1, g5-s1, g6-s1, g7-s2->s1, g8-s0->s1, g9-s2, g10-s0, g11-s2, g12-s0, g13-s7->s2, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s4->s6, y1-s2, y2-s2, y3-s4->s2, y4-s1->s2, y5-s6->s4, y6-s1, y7-s6, y8-s1, y9-s6, y10-s1, y11-s6, y12-s5, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s0, b2-s0, b3-s1->s0, b4-s0, b5-s3->s1, b6-s0, b7-s5->s3, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
33: g0-s7, g1-s0, g2-s1, g3-s0, g4-s1, g5-s1, g6-s1, g7-s2->s1, g8-s0->s1, g9-s2, g10-s0, g11-s2, g12-s0, g13-s7->s2, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s4->s6, y1-s2, y2-s2->s4, y3-s4->s2, y4-s1->s2, y5-s6->s4, y6-s1, y7-s6, y8-s1, y9-s6, y10-s1, y11-s6, y12-s5->s1, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s0, b2-s0, b3-s1->s0, b4-s0, b5-s3->s1, b6-s0, b7-s5->s3, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
34: g0-s7, g1-s0, g2-s1, g3-s0, g4-s1, g5-s1, g6-s1, g7-s2->s1, g8-s0->s1, g9-s2, g10-s0, g11-s2, g12-s0, g13-s7->s2, g14-s0, g15-s7, g16-s0, g17-s7, g18-s0, g19-s7, y0-s6, y1-s2, y2-s2->s4, y3-s4->s2, y4-s1->s2, y5-s4, y6-s1, y7-s6->s4, y8-s1, y9-s6, y10-s1, y11-s6, y12-s5->s1, y13-s6, y14-s5, y15-s6, y16-s5, y17-s6, y18-s5, y19-s6, b0-s0, b1-s0, b2-s0, b3-s1->s0, b4-s0, b5-s3->s1, b6-s0, b7-s5->s3, b8-s0, b9-s5, b10-s0, b11-s5, b12-s0, b13-s5, b14-s0, b15-s5, b16-s0, b17-s5, b18-s0, b19-s5, 
